Codigo;Nome;Descrição;unidade_medida;estoque_atual;estoque_minimo
MC-676;PARAF. ALLEN C/C R/I 3/16''X3/4'';;UN;0;0
MC-907;PARAF. ALLEN CAB. CHATA R/I M6X16;;UN;0;0
MC-9370;PARAF. SEXT. R/I 3/8''X4 1/2'' - ZINCADO PRETO;;UN;0;0
MC-11085;"PARAF. ALLEN C/C R/I 1/4""X1 1/4""";;UN;0;0
MC-703;PORCA PARLOK 5/16'' ZINCADA;;UN;0;0
MC-734;ARRUELA M6X18 ZINCADA PRETA;;UN;0;0
MC-829;ARRUELA 3/8'' LISA FUNILEIRO PRETO;;UN;0;0
MC-637;PORCA SEXT. 3/8'';;UN;0;0
MC-638;PORCA SEXT. M6;;UN;0;0
MC-13423;PARAF. PHILIPS R/I M3 X 16;;UN;0;0
MC-9559;PARAF. C/CHATA PHILIPS R/I 3,5X14;;UN;0;0
MC-10584;PARAF. ALLEN C/C R/P 5/16''X 3 1/2'' - Z/P;;UN;0;0
MC-10580;ARRUELA METRICA 10MM;;UN;0;0
MC-1470;ARRUELA M12 REFORÇADA ZINCADA PRETA;;UN;0;0
MC-11557;PARAF. SEXT. R/I 5/16''X2;;UN;0;0
MC-885;PARAF. ALLEN ABAU. R/I M6X30;;UN;0;0
MC-914;PARAF. ALLEN C/C R/P M8X40;;UN;0;0
MC-640;PARAF. ALLEN ABAU. R/I M8X20;;UN;0;0
MC-733;ARRUELA M6X13 ZINCADA PRETA;;UN;0;0
MC-668;PORCA SEXT. 1/8'';;UN;0;0
MC-11096;PARAF. ALLEN C/C R/I 3/8''X1 1/2'' ;;UN;0;0
MC-887;PARAF. ALLEN ABAU. R/I M6X16;;UN;0;0
MC-11558;PORCA SEXT. 5/16;;UN;0;0
MC-11645;PARAF. ALLEN C/C R/I M5X8;;UN;0;0
MC-11084;PARAF. ALLEN C/C R/P M6X70 ZINCADO PRETO;;UN;0;0
MC-11087;"PARAF. ALLEN C/C R/I 3/8""X1"" ";;UN;0;0
MC-9484;PARAF. SEXTAVADO 4,2X19 RI BROCANTE ;;UN;0;0
MC-12987;PARAF. ALLEN C/C R/I M5X14;;UN;0;0
MC-906;PARAF. ALLEN ABAU. R/I M6X10;;UN;0;0
MC-8429;PARAF. SEXTAVADO 4,2X13 R/I BROCANTE ;;UN;0;0
MC-671;PORCA PARLOK UNIF. 3/4'';;UN;0;0
MC-3659;PORCA SEXT. 1/2'' - 12 FIOS;;UN;0;0
MC-702;PORCA PARLOK 3/8'' ZINCADO PRETO (ALTA);;UN;0;0
MC-635;PORCA CALOTA M10 INOX;;UN;0;0
MC-708;ARRUELA M10 REFORÇADA ZINCADA PRETA;;UN;0;0
MC-10775;REBITE PLUSNUT CONICA TRIV M6;;UN;0;0
MC-1849;PARAF. PHILIPS 4,2X22 FUMÊ;;UN;0;0
MC-720;PARAF. PHILIPS R/P 4,0X35 (CHIPBOARD);;UN;0;0
MC-12381;PARAF. ALLEN C/C R/I M6X80;;UN;0;0
MC-10550;PARAF. ALLEN C/C R/P M8X90;;UN;0;0
MC-9257;PARAF. ALLEN C/C R/I 3/8''X1'' - Z/B;;UN;0;0
MC-674;PORCA PARLOCK M8;;UN;0;0
MC-742;PARAF. FENDA CAB. CHATA R/I 1/8''X3/4'' Z/P;;UN;0;0
MC-709;ARRUELA M8 REFORÇADA ZINCADO PRETO;;UN;0;0
MC-673;PORCA PARLOK M6 ZINCADA PRETA;;UN;0;0
MC-716;PARAF. SEXT. R/I 3/8''X3'' - ZINCADO PRETO;;UN;0;0
MC-11091;PARAF. ALLEN C/C R/P 3/8''X3'' - ZINCADO PRETO;;UN;0;0
MC-675;PARAF. ALLEN S/C R/I 5/16''X5/16'';;UN;0;0
MC-12495;PARAF. ALLEN C/C R/P M6X45;;UN;0;0
MC-645;PARAF. SEXT. R/P 5/16''X2 1/2'';;UN;0;0
MC-915;PARAF. ALLEN C/C R/I M8X25;;UN;0;0
MC-12494;PARAF. ALLEN C/C R/P M6X60;;UN;0;0
MC-12496;"PARAF. ALLEN C/C R/I 1/4""X2""";;UN;0;0
MC-880;PARAF. SEXT. R/I 3/8''X5'' - ZINCADO PRETO;;UN;0;0
MC-11347;PARAF. ALLEN C/C R/P 3/8''X2 1/2'';;UN;0;0
MC-677;PARAF. SEXT. R/I M6X50;;UN;0;0
MC-11098;PARAF. ALLEN C/C R/P 3/8''X6'' - ZINCADO PRETO;;UN;0;0
MC-713;PARAF. SEXT. R/I M8X100 ZINCADO PRETO;;UN;0;0
MC-8674;PARAF. SEXT. R/P 3/8''X2 1/2''*;;UN;0;0
MC-882;PARAF. SEXT. R/P M12X120;;UN;0;0
MC-10530;PARAF. ALLEN ABAU. R/I M8X40;;UN;0;0
MC-735;PORCA PARLOK M12 ZINCADO PRETO;;UN;0;0
MC-864;ARRUELA PLÁSTICA 41X26;;UN;0;0
MC-11094;PARAF. ALLEN C/C R/I 3/8''X 1 1/4'' ;;UN;0;0
MC-851;"PARAF. SEXT. R/I 3/8""X1"" ";;UN;0;0
MC-13199;PARAF. ALLEN ABAU. R/I M8X15 (PÉ DE VELA IMPORTADO) ;;UN;0;0
MC-10501;PARAF. ALLEN C/C R/P 1/4''X3'' - Z/P;;UN;0;0
MC-9085;PARAF. ALLEN C/C R/P M8X60;;UN;0;0
MC-647;PARAF. ALLEN S/C R/I 5/16''X1/2'' - ZINCADO PRETO;;UN;0;0
MC-10634;PARAF. ALLEN C/C R/P M6X50;;UN;0;0
MC-1547;"PARAF. ALLEN S/C R/I 5/16""X1""";;UN;0;0
MC-8034;PARAF. SEXT. R/I M8X60;;UN;0;0
MC-12296;PARAF. ALLEN C/C R/I M4X10;;UN;0;0
MC-11095;PARAF. ALLEN C/C R/P 3/8''X3 1/2'' ;;UN;0;0
MC-854;PARAF. SEXT. R/P 3/8''X2 3/4'' - ZINCADO PRETO*;;UN;0;0
MC-853;PARAF. SEXT. R/P 3/8''X2 1/4'' **;;UN;0;0
MC-10633;PARAF. ALLEN ABAU. R/I M6X40;;UN;0;0
MC-11446;PARAF. ALLEN C/C R/I M6X25;;UN;0;0
MC-10459;BARRA CHAVETA 6X6X500MM;;UN;0;0
MC-706;"ARRUELA 1/2"" REFORÇADA";;UN;0;0
MC-5613;PARAF. ALLEN R/P C/C M8X50**;;UN;0;0
MC-8930;PARAF. FENDA CAB. CHATA R/I 1/8''X1 1/2'';;UN;0;0
MC-908;PARAF. ALLEN CAB. CHATA R/I M6X10;;UN;0;0
MC-11621;"PARAF. ALLEN C/C R/P 5/16''X 3"" - Z/P";;UN;0;0
MC-679;PARAF. SEXT. R/I M8X20*;;UN;0;0
MC-732;ARRUELA M8X17;;UN;0;0
MC-12497;"PARAF. ALLEN C/C R/I 1/4""X2 1/2""";;UN;0;0
MC-11889;PARAF. ALLEN METRICO C/CIL R/I M4X10;;UN;0;0
MC-11430;PARAF. ALLEN C/C R/P 3/8''X4'';;UN;0;0
MC-9340;"PARAF. FENDA ABAU. R/I 5/16''X1 1/4""";;UN;0;0
MC-682;PARAF. SEXT. R/I M8X40;;UN;0;0
MC-672;PORCA PARLOK M10 ZINCADA PRETA;;UN;0;0
MC-13170;PARAF. PHILIPS R/P 4,5X60 (CHIPBOARD);;UN;0;0
MC-12982;PARAF. ALLEN C/C R/P M5X100 ;;UN;0;0
MC-9087;PARAF. ALLEN S/C R/I 5/16''X1/4'';;UN;0;0
MC-11101;PARAF. ALLEN C/C R/I M12X80 **;;UN;0;0
MC-741;PARAF. FENDA ABAU. R/I 3/16''X3/4'' ZINCADO PRETO;;UN;0;0
MC-717;PARAF. QUEBRA GALHO PEQUENO P/CABO DE ACO;;UN;0;0
MC-1936;PARAF. SEXT. R/P 3/8''X2'' - ZINCADO PRETO;;UN;0;0
MC-2713;PARAF. SEXT. R/P M12X80;;UN;0;0
MC-11018;PARAF. PHILIPS R/P 4,0X50 (CHIPBOARD);;UN;0;0
MC-1866;PORCA SEXT. M12;;UN;0;0
MC-11873;"PARAF. ALLEN S/C R/I 1/4""X2"" ";;UN;0;0
MC-801;ARRUELA 9/16'' DE PRESSÃO;;UN;0;0
MC-11348;PARAF. ALLEN C/C R/P 3/8''X2 3/4'' - ZINCADO PRETO;;UN;0;0
MC-705;PORCA PARLOK 3/16'';;UN;0;0
MC-11784;PARAF. ALLEN C/C R/P M8X70 ;;UN;0;0
MC-704;PORCA PARLOK 1/4'' ZINCADA;;UN;0;0
